p1,p2,label,f_label
Q5U4N7,A6NFE3,0,IDPPI
P56975,Q5HYI7,0,IDPPI
P15516,P02760,0,IDPPI
Q7Z589,P35749,0,IDPPI
Q5JRK9,Q9NPR2,0,IDPPI
A0PJW8,Q16394,0,IDPPI
Q96HZ7,O75110,0,IDPPI
P60508,Q6UWB1,0,IDPPI
Q6PII3,Q06033,0,IDPPI
Q8NAA6,Q15629,0,IDPPI
Q8WVI0,P20749,0,IDPPI
Q9BSD3,P58166,0,IDPPI
Q9BWW7,Q9P299,0,IDPPI
Q9BVV8,P68036,0,IDPPI
A6NKF7,P14061,0,IDPPI
Q15424,Q5I0G3,0,IDPPI
Q5T953,Q6NXT6,0,IDPPI
Q96DT7,Q6ZN16,0,IDPPI
Q96PG1,Q96LT4,0,IDPPI
Q08648,P78344,0,IDPPI
Q5T5F5,Q14439,0,IDPPI
Q9UHB6,Q99460,0,IDPPI
Q8IWV1,Q86VI1,0,IDPPI
Q9ULN7,P62699,0,IDPPI
Q9BVW6,P31645,0,IDPPI
P56555,Q9UNN8,0,IDPPI
Q5H9T9,P21583,0,IDPPI
Q8TAI1,Q8IWV2,0,IDPPI
Q9UIH9,Q8WWM9,0,IDPPI
P57077,P60866,0,IDPPI
Q8NAF0,Q71RH2,0,IDPPI
Q9BVW6,Q9H772,0,IDPPI
Q9NU63,Q15326,0,IDPPI
P56975,Q8NBL1,0,IDPPI
O14529,P13224,0,IDPPI
Q86VZ6,Q8NH04,0,IDPPI
Q15038,P27352,0,IDPPI
Q5VTB9,Q96GC9,0,IDPPI
Q9GZU8,O14520,0,IDPPI
Q8IXQ4,Q52LC2,0,IDPPI
Q86TY3,P09871,0,IDPPI
Q96HG1,Q9NY26,0,IDPPI
Q9H3H9,P60568,0,IDPPI
Q9Y252,Q6UWY5,0,IDPPI
Q86SY8,Q3KNV8,0,IDPPI
O75056,P05141,0,IDPPI
O75363,Q6ZNB6,0,IDPPI
Q96PP4,Q14195,0,IDPPI
Q9H8G2,Q5TBK1,0,IDPPI
P0C853,Q9Y2H1,0,IDPPI
O14603,Q96IK5,0,IDPPI
Q6PJ61,P28070,0,IDPPI
P23588,Q14330,0,IDPPI
Q5QFB9,P28223,0,IDPPI
Q03188,Q5JS54,0,IDPPI
Q9GZY1,P57764,0,IDPPI
Q0P6D6,P02689,0,IDPPI
Q96E16,Q96R08,0,IDPPI
Q9P2F5,O43660,0,IDPPI
Q96KP6,A6NK58,0,IDPPI
O75177,O60346,0,IDPPI
P07476,Q8N5Z0,0,IDPPI
Q8WVI0,Q9NRD5,0,IDPPI
O43248,P49736,0,IDPPI
P79522,P23396,0,IDPPI
E7EW31,Q12879,0,IDPPI
Q9BW72,Q9BSJ8,0,IDPPI
Q6ZUT6,P23470,0,IDPPI
P23508,P35244,0,IDPPI
Q3KP66,Q96DE9,0,IDPPI
Q9NZV7,Q6ZTW0,0,IDPPI
Q3LI62,Q96CU9,0,IDPPI
Q9C0B9,P39656,0,IDPPI
P35318,Q9BRG1,0,IDPPI
P0CG40,Q9H344,0,IDPPI
Q6PGN9,Q96AQ7,0,IDPPI
A6NGG3,P53611,0,IDPPI
Q9H2H0,P62244,0,IDPPI
Q15773,Q8NC96,0,IDPPI
P78312,Q5VY80,0,IDPPI
Q8WZ69,Q14653,0,IDPPI
Q96BN6,Q6NVU6,0,IDPPI
P23588,Q8NGP0,0,IDPPI
A6NH13,Q8NGY6,0,IDPPI
Q8N7X1,P11215,0,IDPPI
Q99967,Q9BUB5,0,IDPPI
P13521,Q8N5Z0,0,IDPPI
Q8WV48,O14980,0,IDPPI
Q17RA5,P07333,0,IDPPI
Q9UMD9,A6NI56,0,IDPPI
Q15742,Q99538,0,IDPPI
Q8WWM1,Q99877,0,IDPPI
Q8NDX6,Q15633,0,IDPPI
O43516,O95347,0,IDPPI
Q8N680,P13725,0,IDPPI
Q8N8E2,Q16658,0,IDPPI
Q9H320,Q5JS13,0,IDPPI
Q7Z4H4,P19113,0,IDPPI
P22532,Q9Y2Q0,0,IDPPI
P51460,Q9UKR8,0,IDPPI
Q8IZ63,O15105,0,IDPPI
P50549,Q6UWN8,0,IDPPI
Q53ET0,Q8WV93,0,IDPPI
P59861,O15455,0,IDPPI
Q96IZ7,Q8TC36,0,IDPPI
P43699,O95995,0,IDPPI
Q3LHN0,Q9H237,0,IDPPI
Q14093,P19823,0,IDPPI
Q9H0F5,Q9UKK3,0,IDPPI
B4DS77,P48509,0,IDPPI
P22528,A6NNW6,0,IDPPI
Q68CR7,O14787,0,IDPPI
Q6ZNC4,Q9BVK8,0,IDPPI
Q9C0B9,Q6UW02,0,IDPPI
O60732,O15211,0,IDPPI
Q6IQ23,P46019,0,IDPPI
Q9BVW6,B2RV13,0,IDPPI
O15014,P24723,0,IDPPI
O15117,P62899,0,IDPPI
Q9Y5U9,Q9UKA2,0,IDPPI
Q9UMZ2,Q96EU7,0,IDPPI
O15049,Q9BTX3,0,IDPPI
P51825,Q01658,0,IDPPI
A8MQB3,P51841,0,IDPPI
P19544,Q92630,0,IDPPI
Q6P4E1,Q70IA6,0,IDPPI
Q6UWW9,O94760,0,IDPPI
Q8N729,P15291,0,IDPPI
Q9Y6F6,F2Z333,0,IDPPI
P0C7P2,Q9BZJ4,0,IDPPI
B2CW77,O95400,0,IDPPI
Q96GV9,P51160,0,IDPPI
Q6NT46,Q53FV1,0,IDPPI
Q8N0Y2,Q8N9R8,0,IDPPI
A6NJ69,Q00403,0,IDPPI
I3L0S3,Q9BSK4,0,IDPPI
P31271,Q99467,0,IDPPI
Q9BVV8,P38435,0,IDPPI
Q03112,Q9NNW5,0,IDPPI
Q6ZV80,Q7L0Y3,0,IDPPI
Q5NUL3,O00182,0,PPI
Q9NSI8,Q9BYC9,0,PPI
Q8N8L2,P60604,0,PPI
P01833,Q9NQ35,0,PPI
D6RBQ6,Q96EL2,0,PPI
O95568,Q03403,0,PPI
O15085,O75427,0,PPI
Q8WZA2,Q9BXI9,0,PPI
P26012,Q9Y2T2,0,PPI
Q9NZ09,Q9H339,0,PPI
Q7Z3Z4,A0PK00,0,PPI
Q9NXF1,Q9BY42,0,PPI
Q8WYR1,Q6QHF9,0,PPI
O00291,P0CJ87,0,PPI
Q92664,Q6IMI6,0,PPI
Q8WWN8,Q8N6T3,0,PPI
Q8IWU6,Q04695,0,PPI
O95803,O15403,0,PPI
P24928,Q7Z449,0,PPI
P30926,Q9Y3Y4,0,PPI
Q8WWV6,Q9UKT8,0,PPI
O60669,Q8TF09,0,PPI
Q9UL01,Q9H4I2,0,PPI
Q9NZ09,A2RU48,0,PPI
Q9HD40,P15813,0,PPI
Q8N884,Q96DZ1,0,PPI
Q9UIU6,P49842,0,PPI
Q7Z3B1,P56377,0,PPI
P11413,P19235,0,PPI
Q8NCJ5,Q52WX2,0,PPI
O43283,Q5VT98,0,PPI
Q49AM3,Q8NGT9,0,PPI
Q52LW3,Q8ND82,0,PPI
Q8WTR4,Q8N8A8,0,PPI
O14921,Q9Y5J5,0,PPI
Q6UWU4,Q8NG41,0,PPI
Q9Y6X8,Q86YV9,0,PPI
P37173,Q8NGG4,0,PPI
Q9Y4L1,Q8NCR9,0,PPI
Q92485,Q96H78,0,PPI
P26358,P06126,0,PPI
Q86Y38,Q8IU54,0,PPI
Q99435,Q9Y6J8,0,PPI
Q9BWV1,Q6VUC0,0,PPI
P39748,Q9BQB4,0,PPI
Q8WV37,Q8NEG5,0,PPI
Q9BYC2,P30411,0,PPI
Q9GZV3,Q6IMI4,0,PPI
P36268,O00626,0,PPI
Q6P988,P24046,0,PPI
Q9NX05,Q8NGN3,0,PPI
P55036,Q99608,0,PPI
Q9NQ90,Q9UF12,0,PPI
P30531,Q9Y5X1,0,PPI
Q9Y2G0,Q6NUT3,0,PPI
Q9C000,Q9NQ88,0,PPI
Q86VR7,Q9HA92,0,PPI
Q9UGC7,P57775,0,PPI
Q5TAX3,Q6ZSJ9,0,PPI
Q969K3,P52198,0,PPI
P56181,Q8NG35,0,PPI
Q9P2G3,A8MTL0,0,PPI
Q9BZZ2,Q10469,0,PPI
P78552,P05014,0,PPI
Q6UW63,Q8N8Y2,0,PPI
Q9BS31,Q96M89,0,PPI
P23276,A8MPX8,0,PPI
P37023,P55075,0,PPI
O60248,Q9H114,0,PPI
Q12879,Q6BAA4,0,PPI
Q9BY79,Q13889,0,PPI
Q9NTJ4,A6NK44,0,PPI
P0DJD9,P29017,0,PPI
Q4G1C9,P13232,0,PPI
A6NDG6,Q96HU8,0,PPI
O95206,O60806,0,PPI
P20794,P55001,0,PPI
Q8NH42,Q9Y657,0,PPI
Q9H2U1,O94844,0,PPI
P15586,Q7L1T6,0,PPI
O00213,Q9Y4X0,0,PPI
P47211,Q8N6M8,0,PPI
P57078,O15296,0,PPI
P62753,Q53R12,0,PPI
Q7RTX9,O75600,0,PPI
P0C881,Q8N165,0,PPI
Q8N1H7,Q9NP59,0,PPI
P48553,O43257,0,PPI
Q5VVJ2,Q9Y5L5,0,PPI
O96008,O43677,0,PPI
Q9ULH0,P28161,0,PPI
Q6IQ22,Q8TCY5,0,PPI
Q4G163,Q96AQ2,0,PPI
H3BUK9,Q9Y259,0,PPI
Q9UM01,Q0P651,0,PPI
Q5FYA8,Q8N427,0,PPI
Q8TC41,Q8NHR9,0,PPI
H3BV12,O43396,0,PPI
O75061,P24592,0,PPI
Q8NH72,P55145,0,PPI
Q9GZK4,Q9Y256,0,PPI
P22676,Q9BUP0,0,PPI
O14795,Q5TEA6,0,PPI
Q92769,P0C7Q5,0,PPI
Q9C000,Q2Q1W2,0,PPI
Q8N335,Q00604,0,PPI
Q13263,P04062,0,PPI
Q9HAU8,Q9HBL7,0,PPI
A2RTX5,O76036,0,PPI
P84550,P60606,0,PPI
Q8NFR9,Q6PIY7,0,PPI
Q15042,Q6ZNW5,0,PPI
Q9Y4G2,Q8NGZ3,0,PPI
Q8TE85,Q8NGQ2,0,PPI
Q5H9M0,Q8IY50,0,PPI
P52333,Q9Y320,0,PPI
A6NCV1,Q8NB37,0,PPI
P14618,P23610,0,PPI
Q8NHS2,P10145,0,PPI
P18084,O94929,0,PPI
A8MTB9,Q5FWF7,0,PPI
Q14746,P59535,0,PPI
Q9HBI1,A6ND48,0,PPI
Q8WWZ3,P26373,0,PPI
P19878,P24752,0,PPI
P31645,Q9Y3V2,0,PPI
Q13613,Q5TC63,0,PPI
Q5XG92,Q6UXZ3,0,PPI
Q15464,P20853,0,PPI
O75387,Q8IYA7,0,PPI
Q9NUD9,Q12946,0,PPI
Q86X02,Q9GZZ9,0,PPI
A1X283,Q99733,0,PPI
Q5T7M9,Q9BYZ8,0,PPI
Q96P20,Q96CF2,0,PPI
Q8IWZ6,Q96D70,0,PPI
P21283,Q9H8H3,0,PPI
Q9UN74,Q07973,0,PPI
Q96CW5,P09529,0,PPI
P46060,P48637,0,PPI
O43772,Q6UWH6,0,PPI
O95294,Q86VG3,0,PPI
Q9UKE5,Q5JUR7,0,PPI
Q6UVM3,Q9H1E1,0,PPI
P51787,Q9NR77,0,PPI
O15457,Q8NGY3,0,PPI
Q8WUG5,Q11206,0,PPI
Q8TB24,Q6P4D5,0,PPI
P09131,Q9H446,0,PPI
P49842,Q9HAB8,0,PPI
Q8TEQ8,Q9Y2V0,0,PPI
Q9Y692,P82914,0,PPI
Q8N9U0,Q8NFZ5,0,PPI
P30101,P53778,0,PPI
Q96N19,O95070,0,PPI
Q9BQG0,Q8N9H8,0,PPI
Q7L2E3,Q9UHP3,0,PPI
Q8N5J2,Q9NPH3,0,PPI
O95674,Q8NCR3,0,PPI
Q9C091,Q8NAU1,0,PPI
Q9BXX0,Q9Y6A9,0,PPI
Q8NCN5,Q86YC3,0,PPI
Q6H8Q1,Q8IWW8,0,PPI
O94910,Q86YD3,0,PPI
Q9H4L4,Q9Y5L4,0,PPI
Q587J8,Q16540,0,PPI
O15258,Q5VVC0,0,PPI
Q13642,Q7Z4W1,0,PPI
Q9UGP4,P16581,0,PPI
Q96H55,Q9P021,0,PPI
Q9Y4R8,P48065,0,PPI
O96008,P28360,0,PPI
Q07157,P78344,0,PPI
Q9ULM2,Q9H6D3,0,PPI
P36776,P11117,0,PPI
Q9NQ36,Q9GZK6,0,PPI
Q96KV7,P0DI80,0,PPI
Q969W1,Q9C056,0,PPI
P22314,Q15382,0,PPI
P51164,P63098,0,PPI
Q9UIF7,Q6B0B8,0,PPI
Q4V339,Q15080,0,PPI
Q9NXL9,P83110,0,PPI
Q16740,Q9P0R6,0,PPI
Q5JR98,P60983,0,PPI
Q92830,P51572,0,PPI
P09884,Q9NPA0,0,PPI
Q8NGJ1,P17535,0,PPI
Q6NXT6,Q8N743,0,PPI
Q9BYS8,Q8N0S6,0,PPI
Q9UL51,Q9UBX1,0,PPI
Q9P2N6,Q9H892,0,PPI
Q9NQR7,Q9H7X7,0,PPI
Q8N1W2,Q3LIE5,0,PPI
Q15025,Q9NWT1,0,PPI
Q9UP52,Q8N4P2,0,PPI
P37837,Q9BXJ1,0,PPI
P78539,P30047,0,PPI
Q8N428,Q7RTU1,0,PPI
O60381,Q92535,0,PPI
Q17RY0,A2RUU4,0,PPI
O00255,Q8IUX1,0,PPI
Q68DY9,O94864,0,PPI
Q8WUI4,P07864,0,PPI
P18428,Q93088,0,PPI
O95970,P0DI80,0,PPI
O95428,Q9Y586,0,PPI
Q5H9R7,P12838,0,PPI
Q86XI8,P0C5Z0,0,PPI
P56199,Q8N146,0,PPI
Q9BPX3,O95754,0,PPI
Q03431,Q9Y694,0,PPI
Q92782,O43657,0,PPI
Q9UPT5,Q9HB03,0,PPI
Q9Y2W7,A6NH57,0,PPI
Q7Z569,Q8NH79,0,PPI
Q9Y2M0,Q96GM8,0,PPI
Q9NNW5,Q4LEZ3,0,PPI
Q96SN7,H3BQJ8,0,PPI
Q5TCZ1,Q969G6,0,PPI
P35414,O43513,0,PPI
Q5VWM6,Q13162,0,PPI
Q9UNE2,Q9NQT6,0,PPI
O14503,Q96HE9,0,PPI
P43362,Q9BUP0,0,PPI
Q7Z3E5,O95988,0,PPI
Q9Y2T6,P62805,0,PPI
Q9UBW5,O14649,0,PPI
P28827,P32926,0,PPI
Q00169,O95298,0,PPI
Q8IVU1,Q9BRS2,0,PPI
A6NEN9,P06702,0,PPI
P16885,Q8NH69,0,PPI
O76093,Q96HZ4,0,PPI
Q12899,Q92988,0,PPI
P31512,O00338,0,PPI
Q8WYQ5,Q93015,0,PPI
Q01344,Q9NYV7,0,PPI
Q4VNC0,Q6AZW8,0,PPI
Q15818,Q9UBM7,0,PPI
Q5SVZ6,Q8TBZ8,0,PPI
Q2VY69,Q8N7R7,0,PPI
Q6UXY8,P14550,0,PPI
Q8TBP0,Q8WZ84,0,PPI
Q9Y286,Q9BV90,0,PPI
Q8IW70,Q8NH53,0,PPI
Q99518,Q147U7,0,PPI
Q08881,O14627,0,PPI
Q5VTM2,P49356,0,PPI
O75400,Q9Y6I8,0,PPI
P83369,Q8NGF1,0,PPI
P11168,Q9BYL1,0,PPI
Q8NB14,Q08623,0,PPI
Q9H501,P46091,0,PPI
Q86XK3,Q9NP99,0,PPI
Q4VNC0,A6NFC5,0,PPI
Q6PCB5,Q8N7P1,0,PPI
Q86UD7,Q7Z4S9,0,PPI
Q9Y2A9,Q07687,0,PPI
Q14703,P54855,0,PPI
O43252,Q9C009,0,PPI
Q8WZA2,P14618,0,PPI
Q8NFZ4,Q7Z5Y7,0,PPI
Q12967,Q92503,0,PPI
P02538,Q96PL2,0,PPI
P55010,Q9C009,0,PPI
Q24JQ0,Q9UKR8,0,PPI
A6NNA5,O14625,0,PPI
Q495N2,Q8N1D5,0,PPI
P52789,P10301,0,PPI
Q96L42,Q86W26,0,PPI
P58317,Q8WU76,0,PPI
Q6WBX8,Q86XF7,0,PPI
Q8IWT6,Q3MIT2,0,PPI
Q8IWE5,Q9H9Y2,0,PPI
Q01780,O95047,0,PPI
Q8N3I7,O75828,0,PPI
Q14094,Q67FW5,0,PPI
Q9Y5E9,Q8NH90,0,PPI
Q9P2J5,Q8N165,0,PPI
O95297,P18405,0,PPI
Q5TIA1,Q9BXJ4,0,PPI
Q9BVA6,Q9BV29,0,PPI
Q7Z2Y5,P19652,0,PPI
Q92952,A6NDS4,0,PPI
A6NKD2,O95168,0,PPI
Q96ST3,O95633,0,PPI
Q8N8R5,O75828,0,PPI
Q14669,Q9NRS6,0,PPI
Q5TF21,Q96DA6,0,PPI
P07332,Q6UWT2,0,PPI
Q86W92,O60870,0,PPI
Q96SD1,Q9Y5T4,0,PPI
Q14154,Q86UD0,0,PPI
Q96DN2,P31269,0,PPI
Q9Y6Y1,Q5VWC8,0,PPI
Q92598,Q86SH2,0,PPI
Q15386,P62333,0,PPI
P30305,Q400G9,0,PPI
Q14240,Q9Y383,0,PPI
Q9NQW6,P07550,0,PPI
Q9Y4C5,Q02045,0,PPI
P20062,Q969G5,0,PPI
Q6ZXV5,Q8NCG5,0,PPI
P41091,Q4LEZ3,0,PPI
Q96DR7,O43246,0,PPI
Q96L96,O00476,0,PPI
H0YM25,Q9NZJ0,0,PPI
P78348,Q9Y274,0,PPI
Q6NSI4,Q99819,0,PPI
O15085,Q03403,0,PPI
Q9NZM3,Q9BUE6,0,PPI
Q9P2G1,A6NET4,0,PPI
Q9Y5X1,Q5VYX0,0,PPI
A4D1P6,P49406,0,PPI
Q13616,O15287,0,PPI
Q8IVW6,P06733,0,PPI
Q9Y5B6,Q14684,0,PPI
O00624,Q8NH04,0,PPI
Q3I5F7,Q6PCB0,0,PPI
Q2M329,Q8WTS6,0,PPI
O60566,P78549,0,PPI
Q9BR77,O14681,0,PPI
Q6ZMI0,P54284,0,PPI
Q8IZP1,Q8NA92,0,PPI
Q01432,A2RU48,0,PPI
Q8NGF7,P28356,0,PPI
Q9NZJ0,Q96LB0,0,PPI
Q6PIJ6,Q9UIL4,0,PPI
Q3MIR4,Q9NQC8,0,PPI
Q68DD2,Q96FT9,0,PPI
Q9C0A0,P51788,0,PPI
Q14028,Q9Y4U1,0,PPI
Q13885,P30556,0,PPI
O94919,Q9NZP5,0,PPI
P22888,P35610,0,PPI
P31939,P51888,0,PPI
O00268,Q9NR82,0,PPI
O43174,P50151,0,PPI
Q9ULD0,Q9BYE0,0,PPI
P34969,Q14714,0,PPI
Q9H1P3,P49683,0,PPI
Q9Y2T4,Q9NUD5,0,PPI
Q9UQQ2,Q9Y5P0,0,PPI
Q8WVI7,Q86WS3,0,PPI
Q9P2I0,Q9NRH3,0,PPI
A6NGE4,Q8TEA8,0,PPI
Q15858,Q8TE57,0,PPI
O94905,Q6UWN8,0,PPI
Q86VZ4,A6NIK2,0,PPI
Q6P9F7,Q12912,0,PPI
Q8IZF3,Q8NGK3,0,PPI
Q9NWS8,Q9Y5S9,0,PPI
P49619,Q96KD3,0,PPI
P20591,Q96AT1,0,PPI
Q6NUJ1,Q2T9L4,0,PPI
O75390,Q9H410,0,PPI
Q9GZT4,P21583,0,PPI
P14735,Q86WB0,0,PPI
P53621,Q5JSH3,0,PPI
Q9BQI5,Q14994,0,PPI
P29144,P20340,0,PPI
Q9BYP7,P32119,0,PPI
Q8TEW0,O75084,0,PPI
Q96EK2,Q9NRN7,0,PPI
O00411,Q6Q6R5,0,PPI
Q8WYR1,Q2M3V2,0,PPI
O14772,P21452,0,PPI
Q15283,Q8TDQ0,0,PPI
P28039,Q8NGD3,0,PPI
Q2M296,Q14094,0,PPI
Q92187,A6NKK0,0,PPI
Q16322,P07550,0,PPI
O14980,Q96EY8,0,PPI
Q03431,Q6XE24,0,PPI
O94885,Q8N8Q3,0,PPI
Q13449,O43186,0,PPI
P17540,O75575,0,PPI
Q92783,P08263,0,PPI
O94941,Q9HCT0,0,PPI
Q9P244,P01242,0,PPI
Q5MIZ7,Q9UM21,0,PPI
Q96NB3,Q8TCA0,0,PPI
Q15334,Q16552,0,PPI
Q8NGS2,Q96DA0,0,PPI
Q14CX5,P08709,0,PPI
Q7L9B9,Q9Y337,0,PPI
Q9ULI1,Q5JYT7,0,PPI
P43360,Q96T75,0,PPI
P02671,Q9BZM1,0,PPI
Q96JH7,Q6UXU6,0,PPI
Q8NCK7,Q02833,0,PPI
Q969F9,P49862,0,PPI
P21695,Q5VT99,0,PPI
Q9NXL9,Q6IPR3,0,PPI
O94952,Q9NWZ8,0,PPI
Q7Z5L7,P58004,0,PPI
Q9H159,Q13405,0,PPI
Q53GS7,Q9NYJ1,0,PPI
O15085,Q14554,0,PPI
Q8N103,Q6SA08,0,PPI
Q9UJU6,P61647,0,PPI
P12755,Q9Y6V7,0,PPI
P43628,Q96PU8,0,PPI
O60841,Q96BY9,0,PPI
P30989,Q9NRW3,0,PPI
O75096,O43502,0,PPI
Q8TC44,Q9BUX1,0,PPI
Q6UVM3,Q15935,0,PPI
Q86TJ5,Q14728,0,PPI
O75170,Q7Z388,0,PPI
Q9P2T1,Q9HCC6,0,PPI
Q5VU97,Q8WYR4,0,PPI
O75077,Q9BZV2,0,PPI
Q86UR1,Q13642,0,PPI
P12821,Q2VWP7,0,PPI
Q8IWV2,Q9HD23,0,PPI
Q15147,Q5FWF4,0,PPI
P14618,Q96E93,0,PPI
Q5H9R7,Q6P2I7,0,PPI
O14772,Q99538,0,PPI
Q504T8,Q13291,0,PPI
Q6PCE3,O95715,0,PPI
